,statefy,appno,fullstate,saa,applname,appladdress,applcity,applstate,applzip,zipfour,applstatus,applduns,applinst,insttype,appldisc,neaprimoutcome,congdistr,projdisc,majdisc,disctype,acttype,pdcpt,artsed,artsedname,individnum,artistsnum,youthben,grace,prace,amtrequest,applaward,amtspent,expenses,revenue,inkindctrb,neashare,saashare,othershare,neaprog,msatype,instname,actname,discname,neaprimoutcomename,tigercong,cdsession,county,idein,adultsengaged,childrenengaged,popbenrace,popbenage,popbendistinct,hobie,uniqueid,xlongitude,ylatitude,CityExistsInExcel,artsednew,G_popbenrace,N_popbenrace,W_popbenrace,B_popbenrace,H_popbenrace,-1_popbenrace,P_popbenrace,A_popbenrace,SAP_neaprog,-1_neaprog,PAU_neaprog,PAE_neaprog,PAC_neaprog,POL_neaprog,PAM_neaprog,AES_neaprog,PA_neaprog,P_neaprog,P_pdcpt,Y_pdcpt,I_pdcpt,A_pdcpt,G_popbendist,-1_popbendist,D_popbendist,P_popbendist,Y_popbendist,M_popbendist,E_popbendist,I_popbendist,1_popbenage,-1_popbenage,2_popbenage,3_popbenage,4_popbenage,9_popbenage
0,2021,2021OK00082,Oklahoma,OK,HOLDENVILLE HIGH SCHOOL (HOLDENVILLE PSD),112 E 9TH ST,holdenville,OK,74848,     ,5,ZTC9LVFMLBD6,23,EDU,14,,,4,4,Performing Arts  ,12,,1,Arts Ed: General,-1,-1,26.0,,,500,500,322,322,322,0.0,0,322,0,-1,OM,Secondary School,Arts Instruction,Theatre,Learning,2.0,116.0,Hughes,731070484.0,-1.0,26.0,NW,1,DP,    ,GR13-21-6221-9314 ,-96.398115,35.084553,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,2021,2021OK00087,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,14,14,Multidisciplinary,12,,1,Arts Ed: General,10,8,120.0,,,4236,3500,3500,9602,6102,1800.0,0,3500,0,-1,OM,Arts Service Organization,Arts Instruction,Multidisciplinary,Learning,2.0,116.0,Hughes,731171766.0,10.0,120.0,G,1,G,    ,GR2-21-5497-8601  ,-96.4007,35.0841,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2021,2021OK00086,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,5,5,Visual Arts      ,6,,99,Not Arts Ed,26,142,111.0,,,1032,1000,1000,3954,2954,3080.0,0,1000,0,-1,OM,Arts Service Organization,Exhibition,Visual Arts,Engagement,2.0,116.0,Hughes,731171766.0,26.0,111.0,G,1020304,G,    ,GR2-21-5497-8596  ,-96.4007,35.0841,1,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
3,2021,2021OK00085,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,10,11,11.0,,,1330,1000,1000,2617,1617,785.0,0,1000,0,-1,OM,Arts Service Organization,Arts Instruction,Visual Arts,Learning,2.0,116.0,Hughes,731171766.0,10.0,11.0,G,9,G,    ,GR2-21-5497-8575  ,-96.4007,35.0841,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2021,2021OK00083,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,5,5,Visual Arts      ,6,,99,Not Arts Ed,23,54,20.0,,,1032,1000,1000,3285,2285,1140.0,0,1000,0,-1,OM,Arts Service Organization,Exhibition,Visual Arts,Engagement,2.0,116.0,Hughes,731171766.0,23.0,20.0,G,9,G,    ,GR2-21-5497-8473  ,-96.4007,35.0841,1,99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2021,2021OK00084,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,5,5,Visual Arts      ,12,,1,Arts Ed: General,11,12,11.0,,,1330,1000,1000,2617,1617,785.0,0,1000,0,-1,OM,Arts Service Organization,Arts Instruction,Visual Arts,Learning,2.0,116.0,Hughes,731171766.0,11.0,11.0,G,3,G,    ,GR2-21-5497-8498  ,-96.4007,35.0841,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2021,2021OK00088,Oklahoma,OK,HOLDENVILLE SOCIETY OF PAINTERS AND SCULPTORS – STATE CARES,PO BOX 375,holdenville,OK,74848,     ,2,HRB9R4CG52L7,17,ART,5,,,5,5,Visual Arts      ,11,,99,Not Arts Ed,-1,-1,-1.0,,,2500,2500,2500,2500,2500,0.0,0,0,2500,-1,OM,Arts Service Organization,Operating Support,Visual Arts,Creation,2.0,116.0,Hughes,731171766.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6147-9236 ,-96.4007,35.0841,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7,2021,2021OK00090,Oklahoma,OK,HORTON RECORDS LTD,4117 W JACKSON ST,broken arrow,OK,74012,     ,2,PDA3EM4GCKY6,17,ART,2,,,2,2,Performing Arts  ,5,,2,Some AE: General,150,25,10.0,,,2500,2500,2500,11200,8700,250.0,0,2500,0,-1,M,Arts Service Organization,Performance/Reading,Music,Engagement,1.0,116.0,Tulsa,453759881.0,150.0,10.0,BW,3,G,    ,GR1-21-5879-8967  ,-95.840906,36.044824,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2021,2021OK00089,Oklahoma,OK,HORTON RECORDS LTD,4117 W JACKSON ST,broken arrow,OK,74012,     ,2,PDA3EM4GCKY6,17,ART,2,,,2,2,Performing Arts  ,5,,2,Some AE: General,200,25,10.0,,,2500,2500,2500,12000,9500,800.0,0,2500,0,-1,M,Arts Service Organization,Performance/Reading,Music,Engagement,1.0,116.0,Tulsa,453759881.0,200.0,10.0,BW,3,G,    ,GR1-21-5798-8885  ,-95.840906,36.044824,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2021,2021OK00091,Oklahoma,OK,HORTON RECORDS LTD – STATE CARES,4117 W JACKSON ST,broken arrow,OK,74012,     ,2,PDA3EM4GCKY6,17,ART,2,,,2,2,Performing Arts  ,11,,99,Not Arts Ed,-1,-1,-1.0,,,20000,20000,20000,20000,20000,0.0,0,0,20000,-1,M,Arts Service Organization,Operating Support,Music,Creation,1.0,116.0,Tulsa,453759881.0,-1.0,-1.0,-1,-1,-1,    ,GR17-21-6065-9154 ,-95.840906,36.044824,1,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10,2021,2021OK00092,Oklahoma,OK,HYDRO-EAKLY HIGH SCHOOL (HYDRO-EAKLY PSD),407 E 7TH ST,hydro,OK,73048,     ,5,,23,EDU,14,,,2,2,Performing Arts  ,12,,1,Arts Ed: General,-1,-1,300.0,,,500,500,500,500,500,0.0,0,500,0,-1,OM,Secondary School,Arts Instruction,Music,Learning,3.0,116.0,Blaine,731567247.0,-1.0,300.0,HW,1,P,    ,GR13-21-5876-8964 ,-98.573219,35.551693,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
